run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_suite_size_at_80cov,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_suite_size_at_90cov,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_suite_size_at_95cov,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_second_suite_size_at_100cov,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_suite_size_at_80cov,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_suite_size_at_90cov,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_suite_size_at_95cov,greedy_cov_per_joule_energy_to_100cov_J,greedy_cov_per_joule_suite_size_at_100cov
19271172181,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19270005053,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19256033854,3764,97,ok,97,22794.987666666675,62877.320600000014,113939.90103333337,113939.90103333337,115.159,1.0,232.63600000000002,2.0,352.927,3.0,352.927,3.0,115.159,1.0,232.63600000000002,2.0,352.927,3.0,352.927,3.0
19251806758,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19249709893,4764,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19249463330,154,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19245439364,4766,39,ok,39,80532.35956666667,120243.28336666668,135265.53673333337,156012.00400000004,2123.2960000000003,5.0,2489.987,8.0,3539.627,10.0,4512.188,11.0,1352.1040000000003,6.0,2613.3,9.0,3526.869,10.0,4499.43,11.0
19245398343,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19244373331,4764,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19213989686,4766,39,ok,39,80532.35956666667,120243.28336666668,135265.53673333337,156012.00400000004,2123.2960000000003,5.0,2489.987,8.0,3539.627,10.0,4512.188,11.0,1352.1040000000003,6.0,2613.3,9.0,3526.869,10.0,4499.43,11.0
