run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_energy_to_100cov_J
16096560543,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16096504644,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16096475541,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16095125187,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16093253940,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16092749536,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16090544993,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16089996589,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16082379193,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16082367291,4642,18,ok,18,103587.35813333336,103587.35813333336,103587.35813333336,103587.35813333336,120.291,120.291,120.291,120.291,120.291,120.291,120.291,120.291
16082053154,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16081579870,4615,1,ok,1,318.6656666666667,318.6656666666667,318.6656666666667,318.6656666666667,108.549,108.549,108.549,108.549,108.448,108.448,108.448,108.448
16081131240,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
16080990980,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16080571883,4019,23,ok,23,30341.379366666668,30341.379366666668,30341.379366666668,30341.379366666668,111.085,111.085,111.085,111.085,111.085,111.085,111.085,111.085
